iter	MultiClass
0	1.820274719
1	1.561405477
2	1.332155918
3	1.179223867
4	1.072921376
5	0.976719131
6	0.8841801498
7	0.7991640524
8	0.7352386575
9	0.6737954662
10	0.6224924582
11	0.5749976829
12	0.5274422729
13	0.4859970363
14	0.453046298
15	0.4232087684
16	0.3944570715
17	0.3658250188
18	0.3421283002
19	0.3223442492
20	0.3053976943
21	0.2869874678
22	0.2711703247
23	0.2564597572
24	0.2439711714
25	0.2304829666
26	0.2178722422
27	0.2075522063
28	0.1949620313
29	0.1856855364
30	0.1768965567
31	0.167995046
32	0.1598206465
33	0.1533615919
34	0.1463316014
35	0.1394895613
36	0.1333676668
37	0.1271183407
38	0.1215481445
39	0.1161838857
40	0.1116156257
41	0.1068942301
42	0.1030439885
43	0.09908500038
44	0.09679342261
45	0.09346412427
46	0.09010597717
47	0.08715749529
48	0.08498633066
49	0.08276573833
50	0.0802716133
51	0.07916923836
52	0.07672133486
53	0.07551352683
54	0.0731447294
55	0.07170987762
56	0.070510121
57	0.06868901446
58	0.0672749227
59	0.06541849638
60	0.06330078459
61	0.06197953533
62	0.06130766353
63	0.06006586768
64	0.05828050591
65	0.05620737885
66	0.05536522808
67	0.05412722797
68	0.05339355569
69	0.05177382506
70	0.05091366444
71	0.04981383842
72	0.0489090939
73	0.04777391696
74	0.04718736947
75	0.0463107746
76	0.04560995968
77	0.04537215478
78	0.04479319525
79	0.04432677119
80	0.04393953682
81	0.04341507369
82	0.04280526554
83	0.04234941012
84	0.04203416853
85	0.04142410032
86	0.04108197894
87	0.04094470365
88	0.04004618473
89	0.03970627491
90	0.03950850273
91	0.03920754622
92	0.03895505058
93	0.03855138545
94	0.03806526289
95	0.03778624454
96	0.03743487687
97	0.03714130857
98	0.03696804511
99	0.0368956277
100	0.03658797996
101	0.03638230844
102	0.03545758626
103	0.03533264579
104	0.03514143869
105	0.03442052249
106	0.03432761995
107	0.03421521789
108	0.03347142297
109	0.03314942921
110	0.03292847629
111	0.032782184
112	0.03245526189
113	0.03232264293
114	0.03219875898
115	0.03211396655
116	0.03148642628
117	0.0310942666
118	0.03105492288
119	0.03101897786
120	0.0309938288
121	0.03012854085
122	0.03004666981
123	0.02968508823
124	0.02959842255
125	0.02956921683
126	0.02948105939
127	0.02940097105
128	0.02885045173
129	0.02852187361
130	0.02774061448
131	0.02771908795
132	0.02765857592
133	0.02761913929
134	0.027457563
135	0.02725382879
136	0.02717437227
137	0.02693914826
138	0.02685790278
139	0.02684199318
140	0.02680929263
141	0.02646695307
142	0.0261899005
